name,address,rating,description,facilities,reviews
The Siam,"Khao Road, Wachira Phayaban, Dusit, Bangkok 10300, Thailand.",9,An exquisite luxury hotel. The building seamlessly marries classic Thai influences with Art Deco aesthetics and its interior is crammed with beautiful antiques and exudes sumptuous serenity. Huge efforts are made to offer guests complete privacy and a unique experience. ,"['Bar', 'Fitness centre', ""Kids' club"", 'Laundry', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Wi-Fi']","[{'rating': '9', 'property': 'Location', 'description': 'The Siam sits on the edge of the historic heart of Bangkok, offering easy access to the city’s main temples and museums and guests can get just about anywhere in the area by hopping on the hotel’s river boat. The Siam is a long way from downtown, but for those who are into sightseeing, it’s perfect.'}, {'rating': '10', 'property': 'Style & character', 'description': 'Designed by celebrated hotel guru Bill Bensley, The Siam offers plenty of panache —silent marble corridors ooze Art Deco and classic colonial-style aesthetics, making this hotel a one-off experience. It’s a perfect synergy between east and west and the grounds are so spacious that the property feels like one’s luxury home, even when it’s booked out.'}, {'rating': '10', 'property': 'Service & facilities', 'description': 'Besides the 23 metre-long pool and the grandiose Opium Spa, The Siam offers a roster of other experiences — yoga, meditation, a well-equipped gym occasionally used by members of Thailand’s royal family, a library and movie theatre. The Siam encourages its guests to explore the neighbourhood accompanied by staff members to discover street food options and nearby sights. Incredibly, guests can also receive a ‘sak yant’here — a sacred Thai tattoo, steeped in Buddhist and Hindu traditions.'}, {'rating': '10', 'property': 'Rooms', 'description': 'The 28 standard rooms are in fact suites with high wooden ceilings, massive beds and large bathrooms with stylish tubs. Plenty of original artwork and 19thand early 20th-century documents and photographs grace the walls, complemented by heavy dark wood furniture and giant bronze ceiling fans, all of which creates a near-silent, luxurious ambience. Modern amenities aren’t lacking either, but they blend in with grace.'}, {'rating': '9', 'property': 'Food & drink', 'description': 'The Siam has three restaurants. The Chon Restaurant serves classic Thai haute cuisine by the banks of the Chao Praya – the pomelo prawn salad is excellent. The Deco Bar and Bistro, its walls covered in brass instruments, offers a great selection of western dishes. The Café Cha is a classic patisserie, ideal for afternoon tea. The perfect pre-dinner drink location is the Bather’s Bar by the pool.'}, {'rating': '8', 'property': 'Value for money', 'description': 'Double rooms from £320 in low season; rising to £381 in high. Breakfast, a butler service, local phone calls, Wi-Fi and use of the hotel river boat included.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes, there are ramps, special toilets and most parts of the hotel are accessible by wheelchair.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'There is a children’s pool, a special spa menu as well as Thai kickboxing lessons, yoga, meditation and cooking classes for kids. The movie theatre comes, if so desired, with a nanny service.'}]"
Iniala Beach House,"40/14 Moo 6 Kok Kloi, Takuathung, Phang-Nga, Natai Beach, 82140",9,"Surreally futuristic and gorgeously sexy, the three beachfront villas and luxurious penthouse has been put together by ten of the world's edgiest designers. Situated on the secluded golden sands of Natai Beach, it's the perfect paradise retreat.","['Beach', 'Fitness centre', ""Kids' club"", 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Wi-Fi']","[{'rating': '8', 'property': 'Location', 'description': 'Setting itself apart from the crowd, Iniala is located on the golden edges of Natai beach, on the mainland, a 25-minute drive north of Phuket airport. With little else in the area aside from a handful of private homes, tangled fields and lazy buffalo, it feels pleasingly off the radar – which is exactly what most of Iniala’s high-flying guests are looking for.'}, {'rating': '10', 'property': 'Style & character', 'description': 'Surreal, sexy and a little bit sci-fi, Iniala looks like it might have been stolen from the set of Barbarella. The design is cosmically cool; put together by 10 designers at the top of their game – including the blistering Brazilian Campana brothers. There are kaleidoscopic mosaics in the entranceway, glass walls rippling across the restaurant, reptilian-like cladding creeping over the villas, a blinged-up games room, and a children’s hotel complete with indoor treehouses.'}, {'rating': '10', 'property': 'Service & facilities', 'description': 'Personal butlers, chauffeurs, chefs, spa therapists, fitness instructors and nannies - the service team spirit around the property granting wishes like genies.'}, {'rating': '10', 'property': 'Rooms', 'description': 'The 10 rooms are spread across three three-bedroom villas and a penthouse, and are closer to elaborate theatre sets than your average luxury hotel room. Every space is completely different and extraordinary in its own way; the penthouse has “floating” furniture, sunken tubs and soft spongy floors; the Collector’s villa has columns covered in broken celadon ceramics, a turquoise starfish sofa and €140,000 (£110,000) bed (yes really, that’s not a misprint) designed by Joseph Walsh that took 18 months to carve; swathes of gold and swirling rattan art installations climb around the contemporary Thai-designed Villa Siam; while the sleek white-on-white Villa Bianca has playful touches based on the form of Russian Matryoshka dolls. Each villa is additionally adorned with its own spa, super sea views, and enormous swimming pools shooting out into the horizon.'}, {'rating': '10', 'property': 'Food & drink', 'description': 'Naturally, all this fabulousness has food to match. Aziamendi restaurant (which is open to non-guests over the high season from November to April, and for a monthly Sunday brunch throughout the rest of the year) is helmed by Eneko Atxa, the youngest chef in Spain to be awarded three Michelin stars. When not dining on eight-course degustation menus, guests can enjoy a wish-list of dishes – everything from just-out-the-oven breads for breakfast to rare Royal Thai recipes - whipped up for them by head chef Sandro Aguilera.'}, {'rating': '8', 'property': 'Value for money', 'description': 'Double rooms from £490. The One Percent are unlikely to flinch at throwing down £50,000 to rent the entire property for a week. The rest of us mere mortals can but dream.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes.'}]"
The Sukhothai Bangkok,"13/3, 28/1-4 South Sathorn Road, Thungmahamek, Bangkok, 10120, Thailand.",9,"The Sukhothai Bangkok is a family-friendly luxury hotel offering old-world charm, opulent colonial-era suites, an excellent choice of restaurants and a great location on South Sathorn, near the British embassy. There’s also a swimming pool, gym, spa and tennis court.","['Bar', 'Fitness centre', 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Wi-Fi']","[{'rating': '9', 'property': 'Location', 'description': 'Excellent location on South Sathorn, near Lumphini Park, the British Embassy and MRT Lumphini.'}, {'rating': '9', 'property': 'Style & character', 'description': 'Despite its size – the Sukhothai has 210 rooms and suites, a swimming pool, a gym, a spa and a tennis court – everything seems perfectly balanced. The lobby and salon are graced both with installation art and ancient Khmer style carvings, while the rooms feature old-world teakwood business desks with fax machines, broad-band and Wi-Fi.'}, {'rating': '9', 'property': 'Service & facilities', 'description': 'Highly professional and well-oiled staff machinery is personal enough to make guests feel at home within minutes of arrival and will do their best, round the clock, to provide impeccable service. The Sukhothai is a tightly run ship, a real plus for visitors, especially families.'}, {'rating': '10', 'property': 'Rooms', 'description': 'The very definition of Far Eastern luxury. The large executive deluxe rooms feel like colonial era suites in a royal guesthouse, furnished with teakwood and Thai fabrics and are just perfect for family holidays, honeymoon breaks or small business meetings. Large comfortable bathrooms with wooden floors and large tubs round off the refined picture. Breakfast and free Internet access is included in the room tariff.'}, {'rating': '9', 'property': 'Food & drink', 'description': 'Three restaurants will ensure that there’s something for every palate – from the Celadon, which offers classic Thai cuisine served in a pavilion that floats in a pond filled with lotus flowers, to La Scala, an excellent Italian eatery offering pizza, pasta and salads, and finally the Colonnade, an international all-rounder. A good selection of wines is available at all three restaurants.'}, {'rating': '9', 'property': 'Value for money', 'description': 'For those who can afford it and want to experience Bangkok in regal splendor, the Sukhothai is almost unbeatable.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes.'}]"
Mandarin Oriental Bangkok,"48 Soi Charoenkrung 40, Charoenkrung Rd. Bangrak  Bangkok, 10500, Thailand.",9,"Built in 1876 and still the classiest hotel in the Thai capital, the Oriental, the preserve of wealthy travellers and cultural icons, is perfectly cosmopolitan while exuding traditional Thai charm – the excellent service is very much part of the house style. ","['Bar', 'Fitness centre', ""Kids' club"", 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Tennis court']","[{'rating': '8', 'property': 'Location', 'description': 'Right on the river and there is a hotel shuttle boat from the hotel’s own pier to BTS Saphan Taksin.'}, {'rating': '9', 'property': 'Style & character', 'description': 'Built in 1876 and still the classiest hotel in the Thai capital, the Oriental is perfectly cosmopolitan while exuding traditional Thai charm – the excellent service is very much part of the house style. The huge lounge area is bright and airy, as are the perfectly appointed rooms. A large pool by the river, a spa, an ayurvedic penthouse, a gym and a cooking school will tempt guests not to venture outside.'}, {'rating': '10', 'property': 'Service & facilities', 'description': 'They have seen it all at the Oriental, including writer Somerset Maugham stumbling in with a bout of malaria and musician Billy Idol smashing his suite. Everyone is taken care of. This is not to say that guests are not expected to behave and dress appropriately – rock stars included.Cross the river in the hotel’s boat to reach its wonderful spa, tucked away in an authentic, teak wooden house complete with 15 huge treatment rooms spread over four floors, some with hot tubs, all with showers and dressing areas. Treatments span from the Ayurvedic to Aromatherapy Associates massages and anti-ageing facials by Swiss brand Valmont. A highlight is the Oriental Signature Treatment with its powerful mix of acupressure and stretching, followed by gorgeous hot poultices of lemongrass and turmeric, which help to reduce inflammation and muscle tension. There’s also a Moroccan Rhassoul and a yoga and meditation room.'}, {'rating': '9', 'property': 'Rooms', 'description': 'Understated international luxury with local touches – fine Thai fabrics and teak furniture. The colonial style rooms in the garden wing are my personal favorites – split level, with the bedroom on the upper floor and a sumptuous lounge on the lower one. For guests in search of more contemporary styles, the slightly larger rooms in the main wing might be a better choice.'}, {'rating': '10', 'property': 'Food & drink', 'description': 'Guests are spoilt for choice with eight restaurants, including Le Normandie, serving excellent French cuisine and Sala Rim Nam, one of the best Thai restaurants in Bangkok. Take your afternoon tea at the author’s lounge and enjoy some of the best jazz in the city at the Bamboo Bar.'}, {'rating': '9', 'property': 'Value for money', 'description': 'The Oriental is anything but cheap, but continues to outshine all other hotels in Bangkok.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes.'}]"
Amatara at Regent Phuket Cape Panwa,"84 Moo 8 Sakdidej Road, Vichit, Muang, Phuket, Panwa Beach, 83000, Thailand.",9,"Top features of this luxurious Thai hotel in the south-east of Phuket include the 55-metre infinity pool, lush gardens, tranquil spa area and levels of service that are second to none. All villas have sea views and some have private pools. Food is first-class and breakfast is lavish.","['Bar', 'Beach', 'Fitness centre', ""Kids' club"", 'Laundry', 'Parking', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Tennis court', 'Wi-Fi']","[{'rating': '7', 'property': 'Location', 'description': 'Cape Panwa is located in the far south-east of the island, around a one-hour drive from the airport and 15 minutes from Phuket Old Town. It’s perched on a pretty peninsula overlooking a circular bay on one side and emerald seas dotted with limestone karsks on the other. There are no bad views.'}, {'rating': '9', 'property': 'Style & character', 'description': 'Arriving at the lobby, you will stop in your tracks as you stare agog at a 55-metre infinity pool which seems to soar off into the sky and Andaman Sea. The look is Thai but understated with a smattering of gold-adorned pavilions, squared-off lily ponds and lush bloom-filled gardens. There’s also a serene spa, a gym and a small beach.'}, {'rating': '10', 'property': 'Service & facilities', 'description': 'They really get what service means here and booking a room means bags of crowd-pleasing extras, such as free Wi-Fi and movies, complimentary mini-bars with beers, soft drinks and snacks, a daily laundry allowance, loaded iPads, yoga and tai chi sessions and a regular shuttle bus into Phuket Old Town. Staff are switched on and full of smiles.'}, {'rating': '10', 'property': 'Rooms', 'description': 'The 105 villas are stacked around the hillside and every single one has a sea view and a balcony or terrace from which to admire it. Entry level Pavilion rooms are a spacious 70-square metres, and suites have tubs for two by the window, but it’s the sprawling split-level pool villas that steal the show.'}, {'rating': '9', 'property': 'Food & drink', 'description': 'The two restaurants serve local and international dishes, using flair and first-class produce. Breakfast is a button-popping affair, lunch and drinks are best enjoyed by the pool and dinner at The Grill ticks all the right gastronomic and romantic boxes.'}, {'rating': '10', 'property': 'Value for money', 'description': 'Double rooms from £89, including breakfast. The hotel is currently in its first year of opening and offers exceptional value for money – particularly when it comes to added extras. Snap this one up before everyone else finds out about it.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes.'}]"
The Okura Prestige Bangkok,"57 Wireless Road, Lumpini, Pathumwan, Bangkok, 10330, Thailand.",9,"Think grand interiors, Japanese-style dining, and an infinity pool with cracking views over downtown Bangkok at this lavish, high-rise hotel right in the middle of all the action. ","['Bar', 'Fitness centre', 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Wi-Fi']","[{'rating': '10', 'property': 'Location', 'description': 'Just a stone’s throw from the thriving downtown Sukhumvit Road area and a mere few steps from the Sky Train. Perfect.'}, {'rating': '7', 'property': 'Style & character', 'description': 'Sumptuous and grand though perhaps a little bit too colorless for your average fun-seeking holiday maker. The reception, more than 25 floors above street level. The infinity pool and terrace restaurant offer spectacular view across downtown Bangkok. There’s a gym and spa and everything else one might expect from a Japanese luxury hotel chain.'}, {'rating': '10', 'property': 'Service & facilities', 'description': 'Friendly, well-trained English speaking staff are always on hand. The waitresses in the main restaurant go out of their way to make sure guests are well looked after.'}, {'rating': '8', 'property': 'Rooms', 'description': 'Large, new, international standard rooms with fantastic views all around and a serene Far Eastern ambience. The décor though is in sombre brown and white tones. The bathroom and the (fully automated) toilet are separated, a nice cultural touch, as are the Japanese pajamas guests are invited to sleep in.'}, {'rating': '10', 'property': 'Food & drink', 'description': 'The Okura has three restaurants. Yamazato offers great Japanese dining, based on the centuries- old traditional Kaiseki Ryori (Japanese haute cuisine). There are also two teppanyaki tables and a well-stocked sushi bar. Elements, with more an International offering, has molecular cuisine and a long wine list. Up and Above, offers more great views along with international breakfast and buffet lunches as well as a la carte dinners.'}, {'rating': '9', 'property': 'Value for money', 'description': 'Double rooms from £140, including breakfast. Free Wi-Fi. Highly competitive, both for the price and the excellent downtown location, not least because the Okura opened only recently and furnishings, décor, and general ambience have a certain efficient freshness. And the views are unbeatable. Rates are slightly higher over the weekend.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes.'}]"
Keemala,"10-88 Nakasud Road, Kamala, Kathu, Phuket 83150, Thailand.",9,"Keemala is pure fantasy. A retreat draped on a pretty hillside above Kamala beach where palm-fringed paths lead to a Hobbit-inspired collection of mushroom-shaped thatched roof huts, dangling tree houses, a sensational spa, a sparkling swimming pool and a chic rooftop restaurant. ","['Bar', 'Beach', 'Fitness centre', 'Laundry', 'Pool', 'Restaurant', 'Room service', 'Spa', 'Wi-Fi']","[{'rating': '8', 'property': 'Location', 'description': 'In the rolling green peaks above Kamala beach, on Phuket’s posh northwest coast, around a 45-minute drive from airport. The jungle setting is absolutely charming, if slightly marred by a couple of incongruous condos out front, which will hopefully disappear behind a screen of newly-planted greenery with time. A complimentary shuttle is available to whisk guests to Kamala’s platinum sands,five minutes away.'}, {'rating': '10', 'property': 'Style & character', 'description': 'Tolkien comes to Thailand at this sweet boutique resort. Creating the illusion of a imaginary village, there are soaring pillars topped with coconut-shaped pods, glittering mosaic walls, treehouses hanging amongst the foliage like giant Christmas baubles, and balconies jutting out between bursts of bougainvillea – all the prettier during the tiki-lit nights. The vibe is less flighty though; this is a sophisticated hideaway with a hushed atmosphere.'}, {'rating': '9', 'property': 'Service & facilities', 'description': 'Each villa is appointed with a host who delivers a tailored intuitive service. Elsewhere, you’ll find a lagoon-like swimming pool complete with waterfall and swim-up bar, a fully-equipped fitness studio offering daily complimentary classes – yoga, Muay Thai boxing, Tai Chi on the beach – and a breezy bar and restaurant. And kudos to Keemala for taking a strong stance against Thailand’s often exploitative animal attractions by refusing to bring elephants onto the property and strongly discouraging guests from visiting wild animals shows and petting zoos. If only more of Thailand’s hotels had the guts to encourage ethical tourism.'}, {'rating': '8', 'property': 'Spa', 'description': 'The Mala Spa is a healing haven with eight pod-like treatment rooms set amidst flower and water gardens. Alongside traditional Thai therapies, it offers deeply moisturising body wraps, warming seaweed massages, snooze-inducing facials, as well as more unusual remedies like raindrop healing, energy re-balancing and integrative bodywork. Singing bowls, expert staff, and luxurious all-natural products from Siam Botanicals add to feeling of complete escape. Take full advantage by signing up for one of the three or six-day Holistic Living Programmes, which include a plethora of treatments, private fitness sessions and wonderful seasonal spa cuisine.'}, {'rating': '10', 'property': 'Rooms', 'description': 'The 38 villas come in four different categories: cute, entry-level clay pool villas perfect for those flying solo; sexed-up safari-style tents which can be completely unzipped to let the jungle-y outside in; teardrop-shaped tree houses, which ramble over two levels and have half-moon infinity pools; and vast bird’s nest villas with grand terraces and Andaman Sea views. Interiors throughout are slick — charcoals and cherry woods, circular sofas and striking netted beds – with dramatic bathrooms featuring giant mosaic floors, boulder-sized tubs and indoor and outdoor showers.'}, {'rating': '8', 'property': 'Food & drink', 'description': 'The hotel has just one restaurant – Su Tha – which serves a delectable Thai, international and Indian cuisine, but meals can also be taken in your room or by the pool for a change of scenery. The ‘healthy living’ menu is super – low calorie, locally sourced, and rich in flavour and variety — think yum tua plu (a refreshing Thai salad made up of wing beans, roasted coconut, fried shallots, peanuts and chili paste); black spring chicken and goji bean broth; and tender seabass with gingery baat choy.'}, {'rating': '9', 'property': 'Value for money', 'description': 'Double rooms from £372. Breakfast, afternoon tea, in-room mini-bar, Wi-Fi and daily health and wellness activities are all included in the rate. '}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes. Two clay pool villas have been equipped with ramps and a special buggy for wheelchair users, and all public areas are accessible.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'This is a very romantic retreat, but older well-behaved children should fit in. '}]"
Six Senses Yao Noi,"56 Moo 5, Tambol Koh Yao Noi, Ko Yao Noi, 82160, Thailand.",9,"Anyone yearning for an escape to a romantic hideaway will enjoy the thatch-roofed suites, superb bay views and delicious food sourced from homegrown produce at this hotel on the Thai island of Phuket. Stay put in the Zen garden spa or take a bike to explore local villages.","['Bar', 'Beach', 'Fitness centre', 'Laundry', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Tennis court', 'Wi-Fi']","[{'rating': '9', 'property': 'Location', 'description': 'Cascading across the hillside in Koh Yao Noi, Six Senses gazes out over the magnificent turquoise waters and limestone karsts of Phang Nga Bay, between Phuket and Krabi. The hotel’s speedboat departs from Ao Po Grand Marina in Phuket and takes around 45 minutes to reach the island.'}, {'rating': '9', 'property': 'Style & character', 'description': 'With its swaying butterfly-filled gardens, honey-coloured beaches, swish hilltop infinity pool and Zen garden spa, Six Senses is a tropical island dream scene. Golf buggies nip guests up and down the hillside, while bicycles, kayaks and boats are available to explore local villages and secluded seashores under your own steam.'}, {'rating': '9', 'property': 'Service & facilities', 'description': 'An army of smiling staff clad in lavender, white and coral cotton are on hand to attend to your every need. Personal butlers can organize everything from spa appointments to luxury yacht charters.'}, {'rating': '9', 'property': 'Rooms', 'description': 'Rooms are actually vast thatched-roof suites with huge private terraces, where mosquito nets fashioned from driftwood are suspended above huge beds and sensual indoor/outdoor bathrooms beckon. The ocean view villas are the ones to opt for if you can afford it, as the abundant light and island views give them a particularly special atmosphere.'}, {'rating': '9', 'property': 'Food & drink', 'description': 'Menus are fresh and seasonal with much of the produce coming from the hotel’s organic vegetable gardens and cute little mushroom hut – including the all-day free ice-creams. The split-level Dining Room is sophisticated and romantic and has a chef’s table and a notable wine list. There’s also a relaxed beachside eatery, the swoon-inducing Hilltop Reserve and a sexy bar with sunken seating.'}, {'rating': '8', 'property': 'Value for money', 'description': 'Double rooms from £330, including breakfast. Although it is expensive, you certainly won’t feel short changed. For the best deal, book a package or look out for special offers that include breakfast or half-board. Free Wi-Fi.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes, Six Senses Yao Noi is surprisingly offspring-friendly for such a romantic spot. As an all-villa property there are no connecting rooms but the villas are enormous so extra beds can be rolled out without ever getting under your feet – and come at no extra charge for wee ones under 11. Children’s menus are also discounted, with kids aged one to six eating for free, and seven to 11-year olds receiving a 50 per cent discount – although just try and keep them away from the complimentary ice-cream parlour. Elsewhere, the beach is silk soft and the sea flat calm making it ideal for splashing around with tots, while activities for older children include everything from Muay Thai boxing sessions in a beachside ring to kayaking around shady mangroves to messily-brilliant batik painting classes.'}]"
Ariyasom Villa,"65 Sukhumvit 1, Sukhumvit Rd, Klongtoey Nua, Wattana, Bangkok, 10110, Thailand.",9,"Located in an old, tranquil family home built during the Second World War, this is a fine heritage hotel in Bangkok's bustling downtown area. With just 24 comfortable rooms and suites, wonderful furnishings, classic Thai aesthetics and eclectic cuisine, it is truly in a league of its own.","['Fitness centre', 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Wi-Fi']","[{'rating': '8', 'property': 'Location', 'description': 'The Ariyasom Villa is perfectly placed in the heart of downtown Bangkok, just off Sukhumvit Road and less than 10 minutes away from Ploenchit sky train station. The property borders on a canal and regular river boats can whisk adventurous tourists away to the Jim Thompson House or all the way to Golden Mount near the Chao Praya River and the city’s main historic sites. Near-perfect accommodation.'}, {'rating': '10', 'property': 'Style & character', 'description': 'A great rarity in Bangkok, the Ariyasom Villa is a well honed and beautiful heritage property. Built in 1942 by the Dean of the Engineering Faculty of the prestigious Chulalongkorn University, the property opened as a hotel in 2008. Located in a leafy garden compound, everything is just right. The new wing blends in well with the two original buildings, Thai antiques and heavy teak are unobtrusive but essential to the common areas and rooms and everything is ever so slightly idiosyncratic, a rarity in Thailand.'}, {'rating': '8', 'property': 'Service & facilities', 'description': 'The pool is large enough and there’s an adjacent whirlpool tub. The spa is small but with so few rooms it’s adequate. The gym is tiny. On the ground floor of one of the old buildings, a spacious library is sometimes used for weddings and other functions. A Buddhist monk comes in to give meditation classes, as popular with outsiders as with guests.'}, {'rating': '9', 'property': 'Rooms', 'description': 'The standard rooms are a good size, with wooden floors and furnished with carefully selected and well restored antiques. Not one is exactly like another. Lanna (northern Thai) and Ayutthaya (central Thai) influences are clearly noticeable, not least with the heavy teak furniture and wooden framed mirrors. Most rooms have verandas or balconies. The bathrooms are elegant with glass partitions and tubs and are absolutely spotless.'}, {'rating': '8', 'property': 'Food & drink', 'description': 'There’s just one restaurant in one of the hotel’s old buildings. The owners are vegetarian and want to share their commitment to healthy food with their guests. Hence the menu is crammed with vegetarian (and organic) and sea food selections, both Thai and European. Prices are very reasonable. Breakfast is à la carte vegetarian.'}, {'rating': '9', 'property': 'Value for money', 'description': 'Double rooms from £118 in low season; rising to £125 in high, breakfast included. Free Wi-Fi.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'No special facilities, though all rooms are accessible via a lift.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'Yes, the quiet garden property with its pool is a welcome change from the usual couple-oriented accommodations in downtown Bangkok.'}]"
Sofitel So Bangkok,"2 North Sathorn, Bangrak, Bangkok, 10500, Thailand.",9,"Opened in 2012, the Sofitel So is a trendy, outrageously fashionable lifestyle hotel, located in the downtown Sathorn area facing Lumpini Park. Fashioned by French celebrity designer Christian Lacroix and several Thai artists, the hotel is squarely aimed at young couples and business travellers.","['Bar', 'Fitness centre', 'Laundry', 'Parking', 'Pool', 'Restaurant', 'Room service', 'Sauna', 'Spa', 'Steam room/hammam', 'Wi-Fi']","[{'rating': '8', 'property': 'Location', 'description': 'The Sofitel So is very close to Lumpini Park, Bangkok’s largest green area. Lumpini underground station is nearby and the hotel offers an hourly complimentary shuttle service which continues to Sala Daeng, the nearest sky train station, and terminates at Silom Complex, an upmarket shopping centre.'}, {'rating': '10', 'property': 'Style & character', 'description': ""It’s all about style at the Sofitel So, and in this respect the hotel is pretty much in a league of its own in Bangkok. Christian Lacroix designed the hotel logo, the playful staff uniforms and the executive lounge. At least one employee sports a green Mohican, an indication of just how unique the ambience is. The Sofitel So works because it's audacious and unusual in Bangkok, and perhaps anywhere.""}, {'rating': '8', 'property': 'Service & facilities', 'description': 'The large infinity pool has great views over Lumpini Park; there’s a small but perfectly adequate gym and a well-equipped spa that continues the hotel’s aesthetic marriage of loud French style and gentle Thai ambience.'}, {'rating': '9', 'property': 'Rooms', 'description': 'The rooms are divided into five groups following the five elements in Chinese culture – water, wood, fire, earth and metal, each designed by a renowned Thai artist. The metal rooms gleam all white, while the earth rooms are modelled on grottos with odd sliding doors and dark blue walls covered in sketches of exotic animals. The furnishings are a little worn but the bathrooms, with tubs, are spotless and elegant.'}, {'rating': '9', 'property': 'Food & drink', 'description': 'The Sofitel So has two restaurants and three bars. The Red Oven features the largest Montini oven in southeast Asia, a giant edifice in the restaurant’s centre. Guests can enjoy a truly excellent international breakfast, lunch and dinner buffets with an emphasis on Italian and Japanese. The Park Society Restaurant offers grand views over Lumpini Park and serves Thai fusion dinners. Outside, the Park Society Terrace is an excellent spot for a pre-dinner drink and snacks. One more floor up, the rooftop Hi So Bar is fronted by giant steel girders and seems to have escaped a Noir movie. The Chocolate Lab on the ground floor is exactly what you think it is.'}, {'rating': '8', 'property': 'Value for money', 'description': 'Double rooms from £137 in low season; rising to £144 in high. Breakfast excluded. Free Wi-Fi.'}, {'rating': None, 'property': 'Access for guests with disabilities?', 'description': 'Yes, there’s a special lift and a few dedicated rooms for guests with special needs.'}, {'rating': None, 'property': 'Family-friendly?', 'description': 'No.'}]"
